Passed A1-4 for mA = 42, nA = 68, nB = 35, 
Passed A1-4 for mA = 42, nA = 68, nB = 25, 
Passed A1-4 for mA = 42, nA = 68, nB = 63, 
Passed A1-4 for mA = 42, nA = 70, nB = 35, 
Passed A1-4 for mA = 42, nA = 70, nB = 25, 
Passed A1-4 for mA = 42, nA = 70, nB = 63, 
Passed A1-4 for mA = 42, nA = 59, nB = 35, 
Passed A1-4 for mA = 42, nA = 59, nB = 25, 
Passed A1-4 for mA = 42, nA = 59, nB = 63, 
Passed A1-4 for mA = 1, nA = 68, nB = 35, 
Passed A1-4 for mA = 1, nA = 68, nB = 25, 
Passed A1-4 for mA = 1, nA = 68, nB = 63, 
Passed A1-4 for mA = 1, nA = 70, nB = 35, 
Passed A1-4 for mA = 1, nA = 70, nB = 25, 
Passed A1-4 for mA = 1, nA = 70, nB = 63, 
Passed A1-4 for mA = 1, nA = 59, nB = 35, 
Passed A1-4 for mA = 1, nA = 59, nB = 25, 
Passed A1-4 for mA = 1, nA = 59, nB = 63, 
Passed A1-4 for mA = 79, nA = 68, nB = 35, 
Passed A1-4 for mA = 79, nA = 68, nB = 25, 
Passed A1-4 for mA = 79, nA = 68, nB = 63, 
Passed A1-4 for mA = 79, nA = 70, nB = 35, 
Passed A1-4 for mA = 79, nA = 70, nB = 25, 
Passed A1-4 for mA = 79, nA = 70, nB = 63, 
Passed A1-4 for mA = 79, nA = 59, nB = 35, 
Passed A1-4 for mA = 79, nA = 59, nB = 25, 
Passed A1-4 for mA = 79, nA = 59, nB = 63, 
Passed A1-4 for mA = 42, nA = 68, nB = 35, 
Passed A1-4 for mA = 42, nA = 68, nB = 25, 
Passed A1-4 for mA = 42, nA = 68, nB = 63, 
Passed A1-4 for mA = 42, nA = 70, nB = 35, 
Passed A1-4 for mA = 42, nA = 70, nB = 25, 
Passed A1-4 for mA = 42, nA = 70, nB = 63, 
Passed A1-4 for mA = 42, nA = 59, nB = 35, 
Passed A1-4 for mA = 42, nA = 59, nB = 25, 
Passed A1-4 for mA = 42, nA = 59, nB = 63, 
Passed A1-4 for mA = 1, nA = 68, nB = 35, 
Passed A1-4 for mA = 1, nA = 68, nB = 25, 
Passed A1-4 for mA = 1, nA = 68, nB = 63, 
Passed A1-4 for mA = 1, nA = 70, nB = 35, 
Passed A1-4 for mA = 1, nA = 70, nB = 25, 
Passed A1-4 for mA = 1, nA = 70, nB = 63, 
Passed A1-4 for mA = 1, nA = 59, nB = 35, 
Passed A1-4 for mA = 1, nA = 59, nB = 25, 
Passed A1-4 for mA = 1, nA = 59, nB = 63, 
Passed A1-4 for mA = 79, nA = 68, nB = 35, 
Passed A1-4 for mA = 79, nA = 68, nB = 25, 
Passed A1-4 for mA = 79, nA = 68, nB = 63, 
Passed A1-4 for mA = 79, nA = 70, nB = 35, 
Passed A1-4 for mA = 79, nA = 70, nB = 25, 
Passed A1-4 for mA = 79, nA = 70, nB = 63, 
Passed A1-4 for mA = 79, nA = 59, nB = 35, 
Passed A1-4 for mA = 79, nA = 59, nB = 25, 
Passed A1-4 for mA = 79, nA = 59, nB = 63, 
